;SKU;Faturamento
183;24.25.49.01.10;25840.600000000002
184;8.07.76.02.10;25461.7
185;8.04.03.10.10;25332.37
186;8.08.04.01.01;25045.15
187;8.09.01.102.57;24833.21
188;8.07.01.32.01;24772.190000000002
189;8.04.01.11.27;24679.9
190;8.09.04.127.01;24454.02
191;8.07.01.34.27;24352.77
192;8.12.01.19.01;24143.5
193;8.07.76.03.01;24127.97
194;8.09.03.93.01;23987.62
195;21.14.50.30.00;23431.66
196;8.13.33.02.00;23421.77
197;8.01.28.23.18;23354.05
198;8.09.02.06.10;23257.95
199;21.14.50.121.00;23119.41
200;8.05.23.01.11;22959.14
201;8.06.02.04.06;22894.809999999998
202;8.12.01.07.06;22749.960000000003
203;21.14.50.806.00;22702.65
204;8.04.04.11.10;22638.21
205;8.67.103.01.10;22391.1
206;8.09.76.07.10;22210.1
207;8.04.01.69.01;21900.79
208;8.09.01.08.01;21616.1
209;8.07.02.02.01;21442.3
210;8.09.76.25.10;21234.2
211;8.01.01.17.10;20929.010000000002
212;8.05.04.01.18;20851.559999999998
213;8.04.04.12.06;20795.49
214;21.14.50.464.00;20690.66
215;8.03.01.09.01;20664.02
216;8.09.23.67.01;20376.73
217;24.10.159.278.00;20328.449999999997
218;8.09.04.19.18;19968.63
219;8.04.61.01.10;19820.4
220;24.10.159.60.00;19576.53
221;8.09.02.83.76;19480.36
222;24.53.66.14.00;19456.64
223;8.09.02.05.01;19299.05
224;8.04.03.11.00;19234.34
225;8.03.02.13.27;19088.3
226;8.09.01.101.27;19034.08
227;8.01.01.16.18;18744.809999999998
228;8.09.02.01.10;18506.45
229;8.09.04.114.01;18191.7
230;8.04.23.16.01;18169.6
231;8.09.01.97.01;18139.29
232;24.25.49.19.11;18078.27
233;8.01.28.08.06;17909.62
234;8.09.02.08.10;17857.15
235;8.01.28.18.10;17783.47
236;8.09.23.59.01;17585.010000000002
237;24.25.49.16.01;17561.91
238;8.60.171.08.07;17309.05
239;8.09.39.18.01;17084.3
240;8.01.39.08.06;17080.58
241;8.04.23.14.10;16992.12
242;21.14.50.485.00;16898.14
243;8.13.33.03.00;16867.440000000002
244;24.54.66.140.00;16596.83
245;21.14.50.452.00;16587.516666666666
246;8.09.01.100.83;16313.98
247;8.04.77.03.10;16313.540000000003
248;8.03.03.18.18;16297.029999999999
249;24.11.175.176.06;16124.880000000001
250;21.14.50.480.00;16114.24
251;8.07.23.05.27;15694.619999999999
252;24.11.175.91.01;15675.859999999999
253;8.05.70.02.10;15579.5
254;8.07.76.18.10;15520.0
255;8.04.23.04.27;15476.65
256;21.14.50.482.00;15407.810000000001
257;8.01.01.15.18;15352.789999999999
258;8.06.04.12.10;15287.289999999999
259;8.03.01.03.18;15243.050000000001
260;8.24.23.47.10;15234.34
261;8.07.04.50.10;15215.250000000002
262;8.09.02.88.01;15196.0
263;21.14.50.123.00;15122.58
264;8.07.76.10.01;15119.03
265;8.09.23.62.01;15106.76
266;8.09.04.116.01;15073.359999999999
267;21.14.50.118.00;14967.61
268;8.09.76.60.10;14953.58
269;24.56.66.64.00;14839.32
270;8.09.02.80.27;14817.15
271;8.07.76.13.01;14816.7875
272;8.09.03.115.01;14691.54
273;8.01.28.22.07;14632.51
274;8.12.01.15.01;14487.560000000001
275;24.55.66.525.00;14351.720000000001
276;8.09.04.97.18;14232.51
277;21.14.46.158.00;14056.66
278;8.07.39.11.01;13978.17
279;8.07.103.05.01;13952.0
280;8.04.61.02.10;13810.92
281;8.07.23.17.01;13790.39
282;8.01.01.12.24;13694.99
283;8.03.28.31.18;13689.59
284;8.03.02.28.01;13654.7
285;8.03.01.10.10;13634.59
286;8.09.76.77.10;13602.880000000001
287;8.01.28.10.06;13576.07
288;8.04.03.19.07;13282.69
289;8.09.01.07.10;13258.05
290;8.67.103.02.07;13244.49
291;8.05.02.11.10;13159.3
292;6.28.25.153.01;13047.8
293;8.07.76.16.01;12931.961
294;8.05.02.05.80;12865.5
295;8.11.01.01.01;12789.43
296;8.01.39.11.18;12727.57
297;8.04.03.20.18;12682.48
298;21.14.175.15.06;12676.039999999999
299;8.03.02.29.10;12625.3
300;24.52.66.390.06;12607.01
301;8.25.39.01.06;12592.039999999999
302;24.70.159.02.06;12518.11
303;8.09.01.85.01;12511.6
304;8.06.04.06.10;12505.6
305;8.07.28.14.01;12422.66
306;8.09.04.120.10;12380.69
307;8.09.76.45.10;12250.8
308;8.08.01.24.01;12206.179999999998
309;8.09.04.64.01;12185.150000000001
310;8.09.04.115.01;12179.099999999999
311;8.09.04.113.10;12090.2
312;24.56.66.33.00;11995.09
313;8.09.03.109.18;11913.689999999999
314;8.09.02.86.76;11771.7
315;8.09.76.69.10;11579.99
316;21.14.50.34.00;11553.98
317;24.53.66.137.00;11542.6
318;8.09.28.71.01;11509.04
319;24.55.66.527.00;11460.72
320;24.57.159.07.00;11423.970000000001
321;8.08.01.01.01;11325.87
322;8.60.171.12.10;11322.8
323;8.04.04.14.06;11298.37
324;8.07.53.14.01;11298.0
325;8.05.02.13.12;11257.84
326;21.14.50.49.00;11230.17
327;8.01.39.02.06;11197.45
328;8.07.53.13.01;10881.45
329;8.06.04.09.06;10856.24
330;24.69.163.80.00;10723.05
331;8.06.04.07.06;10708.3
332;21.14.50.07.00;10484.9
333;21.16.50.07.00;10436.369999999999
334;8.09.02.101.27;10421.65
335;8.30.74.05.76;10407.9
336;24.54.159.51.10;10365.19
337;8.67.33.02.00;10316.939999999999
338;8.09.53.43.01;10227.7
339;21.14.50.811.00;10185.42
340;21.14.50.486.00;10079.555
341;8.09.03.120.01;10035.82
342;8.09.02.114.11;10016.2
343;21.14.50.833.00;9982.76
344;24.56.66.321.06;9942.23
345;8.03.02.22.80;9922.95
346;8.09.23.63.10;9917.2
347;8.03.03.15.10;9882.85
348;8.01.39.12.07;9882.0
349;24.53.66.135.00;9862.02
350;8.04.23.12.10;9859.25
351;21.14.50.271.00;9809.45
352;8.07.04.51.10;9806.6
353;24.10.159.277.00;9742.56
354;24.57.66.28.00;9734.64
355;8.04.53.04.00;9721.61
356;21.14.50.463.00;9699.72
357;8.09.23.60.10;9617.5
358;8.03.02.27.10;9602.28
359;8.01.47.03.10;9599.74
